                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.0908,                 1.2722,                 1.2396,                0.69049,                0.55052,                0.60384,                0.44497,                0.98742,                 1.0046,                  1.145,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.0916,                 1.2679,                   1.24,                0.68737,                0.55091,                0.60431,                0.44527,                0.98652,                 1.0037,                 1.1441,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.0899,                 1.2694,                 1.2379,                0.68554,                0.55172,                0.60472,                0.44544,                0.98667,                 1.0034,                 1.1441,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.0894,                   1.27,                 1.2401,                0.68381,                0.55323,                0.60466,                0.44583,                0.98614,                 1.0042,                 1.1435,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.0897,                 1.2695,                 1.2389,                0.68969,                0.55025,                0.60555,                0.44598,                0.98576,                 1.0039,                 1.1433,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.0909,                 1.2738,                 1.2389,                0.68858,                0.55065,                 0.6055,                0.44649,                  0.986,                 1.0035,                 1.1428,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.0915,                 1.2677,                  1.239,                0.68041,                0.55601,                 0.6058,                 0.4464,                0.98646,                 1.0024,                  1.143,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.0908,                 1.2694,                 1.2371,                0.68162,                 0.5546,                0.60605,                0.44599,                0.98556,                 1.0026,                 1.1422,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.0887,                 1.2658,                 1.2382,                 0.6782,                0.55769,                0.60649,                0.44612,                0.98579,                 1.0022,                 1.1422,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.0888,                  1.269,                 1.2377,                0.67877,                0.55839,                0.60633,                0.44603,                0.98528,                 1.0015,                 1.1418,               0.008713,               0.008713,               0.008713
                    132,                 1.0888,                 1.2662,                 1.2366,                0.68522,                 0.5531,                0.60654,                 0.4463,                0.98494,                 1.0009,                  1.141,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.0876,                 1.2682,                 1.2359,                0.68169,                0.55351,                 0.6066,                0.44656,                0.98479,                 1.0005,                 1.1405,              0.0086932,              0.0086932,              0.0086932
